,0,1,2,3,Copy of Plant Communities Data Entry 2017 Thursday AM.xlsx_1_noprac,"Olivia King, Sandy Lu & Julia Trevorah","Laura Solly, Esther Cowen, …","Sonia Metz. Sarah Willington, Ruashaan Seychell, Theodore ","Andrew Penman, Julie Kisslinger, Adela Jarmasz, Tahlia Downie","Aiden, Ryan, Tim, James","Emma Dragh, Maddie Brown, Max Dewez, Adeline Chew ","Prarthana Kanagaratnam, Jocelyn Claire Fisher, Jamie Stackpole, Humza Sheikh","Jianing Jiang, Brendan Hook, Xiaoqi Li, Ming Fen Eileen Lee","Brigit, Enya, Michael, ?","James Tapa, Maxwell Pearse, Rizan Faiz, Praveena Jayasundera","Jonathan Goh Tze Khin, Jolene Lim Jia Le, Nguyen Thu Trang","Dion Roufos, Qixuan Liu, Wing Yan Grace Mui, Zhongyi Ye",Plant Communities Data Entry 2017 final.xlsx_14_noprac,"kyle Wood Nancy Hwanhee Yoo, Tom Brooks, Ambrose Brear and other","Kate, Lydia, Kate and Zoe",Jessica Laura; Suyuan(Kelly) Wang; Mel Jane; Yian(Ping) Ouyang,"Billy Janssen, Ricky Chen","nadia, arlea, sabrina, another person ","Tom Anderson, Tom Stevenson, Lori Sandeman and Pat McCarthy",Kylle Quinn; Srithti Gautam; Tianyi Sun; Zuorui Liu,Plant Communities Data Entry 2017(1) (13).xlsx_22_noprac,"Yang Yee Lai, Jianliang Ye, Wang Chit Wong",Plant Communities Data Entry 2017(1) (15).xlsx_24_noprac,"Monika Blankenburgs, Gracie Doherty, Lily Allen, Esther Cowen, Laura Solly","Rebecca Vincent, Esther Wong, Carol Han, Lydia Chan","Kent Bennett, Ben Ferraro, Tabitha Ow, Daniel Francis","Bao Ngoc Duong, Yanting Zhang, Noran Nur Munira Khalili","Amy Huynh, Christina Karagiorgis, Joel Lowenthal, Anika Vroom","Laura, Aya Allahham, two others","Isaac Langford, Nadia Satrio, Pema Tshering, Shanice Lee, Sinead Broere, Xi Ru Teo. ","Jack Lucas, Daniel Rees, Joe Hwang, Ofelia Cheung, Iskandar John Smurthwaite ","Syarafina, Alistair, Michelle, ?","Oshini, Coco, Tahli","Jinglan Wang, Lief Chan, Tara Pedersen, Synn Chyau Pan","Diana Qi, Jingyi Zhang, Hanghao Du, Pufan Zheng","Phoebe McIntosh, Caitie Sampson, Atshaya Jayadev, Sally Bolt","Teja Binti-Solah, James Benson, Darcy Bennett, Ethan Bernadini, Hamish Bignell, India Ambler, Kayley Alesia Beer, Reem Allahham","Leanne, Lily, Abbey, Eliza","Natasha, Merve, George, Rumi, Cindy (?)","Chethana Siriwardana, Kelley Leech, Jasper (Last Name?), Wey Yao Wong","Nathan G, Nathan W + two others ","Dale, Stéphane and Joiee","Chai Somkiat, Max Collett, Annabelle Erksine, Ned Parnham","Monica Ly, Jack Tovey and Jeremy Bush",sum
0,POACEAE,*Agrostis sp.,,Bentgrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,POACEAE,*Avena barbata,,Wild oats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.333333333333336
2,POACEAE,*Bromus diandrus,,Great brome,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
3,POACEAE,*Bromus hordaceous,,Soft brome,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335
4,POACEAE,*Bromus rubens,,Red brome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6699999999999999
5,POACEAE,*Bromus unioloides,,Prairie grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333
6,POACEAE,*Cynodon dactylon,,Couch grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,51.66666666666667
7,POACEAE,*Ehrharta erecta,,Panic veldt grass,0.0,0.0,0.08333333333333333,0.5,21.666666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,8.34,1.6666666666666667,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.6666666666666666,0.0,63.67333333333334
8,POACEAE,*Ehrharta longiflora,,Annual veldt grass,0.3333333333333333,1.5,0.19999999999999998,0.13333333333333333,1.6666666666666667,3.0,1.6666666666666667,0.0,1.6666666666666667,0.8333333333333334,0.0,0.0,23.666666666666668,0.0,0.0,8.333333333333334,0.0,0.33666666666666667,3.3333333333333335,0.0,0.0,6.666666666666667,0.0,0.0,0.19999999999999998,0.0,1.3333333333333333,8.333333333333334,0.0,0.06666666666666667,0.0,0.08,0.0,0.0,1.0,31.666666666666668,0.6666666666666666,2.3333333333333335,0.6666666666666666,3.3333333333333335,0.08333333333333333,0.0,4.333333333333333,0.3333333333333333,0.0,107.76666666666668
9,POACEAE,*Eleusine tristachya,,Goose grass,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.666666666666664
